Date,inflation_USA,inflation_kor,inflation_china,unemployment_kor
2021-03-13,1.83,2.1283870967741936,0.45483870967741935,3.8225806451612905
2021-03-14,1.85,2.1474193548387097,0.46774193548387094,3.8161290322580648
2021-03-15,1.87,2.166451612903226,0.48064516129032253,3.8096774193548386
2021-03-16,1.8900000000000001,2.185483870967742,0.4935483870967742,3.803225806451613
2021-03-17,1.9100000000000001,2.204516129032258,0.5064516129032257,3.796774193548387
2021-03-18,1.9300000000000002,2.2235483870967743,0.5193548387096774,3.7903225806451615
2021-03-19,1.95,2.2425806451612904,0.532258064516129,3.7838709677419358
2021-03-20,1.97,2.2616129032258065,0.5451612903225806,3.7774193548387096
2021-03-21,1.99,2.2806451612903227,0.5580645161290323,3.770967741935484
2021-03-22,2.01,2.299677419354839,0.5709677419354838,3.764516129032258
2021-03-23,2.0300000000000002,2.318709677419355,0.5838709677419354,3.7580645161290325
2021-03-24,2.05,2.337741935483871,0.596774193548387,3.7516129032258068
2021-03-25,2.07,2.3567741935483872,0.6096774193548387,3.7451612903225806
2021-03-26,2.09,2.3758064516129034,0.6225806451612903,3.738709677419355
2021-03-27,2.11,2.3948387096774195,0.635483870967742,3.732258064516129
2021-03-28,2.13,2.4138709677419357,0.6483870967741935,3.7258064516129035
2021-03-29,2.15,2.432903225806452,0.661290322580645,3.7193548387096778
2021-03-30,2.17,2.451935483870968,0.6741935483870967,3.7129032258064516
2021-03-31,2.19,2.470967741935484,0.6870967741935483,3.706451612903226
2021-04-01,2.21,2.49,0.7,3.7
2021-04-02,2.2216666666666667,2.4943333333333335,0.7066666666666667,3.7033333333333336
2021-04-03,2.2333333333333334,2.498666666666667,0.7133333333333333,3.706666666666667
2021-04-04,2.245,2.503,0.72,3.71
2021-04-05,2.256666666666667,2.5073333333333334,0.7266666666666667,3.7133333333333334
2021-04-06,2.2683333333333335,2.5116666666666667,0.7333333333333333,3.716666666666667
2021-04-07,2.28,2.516,0.74,3.72
2021-04-08,2.2916666666666665,2.5203333333333333,0.7466666666666666,3.7233333333333336
2021-04-09,2.3033333333333332,2.524666666666667,0.7533333333333333,3.7266666666666666
2021-04-10,2.315,2.5290000000000004,0.76,3.73
2021-04-11,2.3266666666666667,2.5333333333333337,0.7666666666666666,3.7333333333333334
2021-04-12,2.3383333333333334,2.537666666666667,0.7733333333333333,3.736666666666667
2021-04-13,2.35,2.5420000000000003,0.78,3.74
2021-04-14,2.361666666666667,2.5463333333333336,0.7866666666666666,3.743333333333333
2021-04-15,2.3733333333333335,2.550666666666667,0.7933333333333333,3.7466666666666666
2021-04-16,2.385,2.555,0.8,3.75
2021-04-17,2.3966666666666665,2.5593333333333335,0.8066666666666666,3.7533333333333334
2021-04-18,2.408333333333333,2.5636666666666668,0.8133333333333334,3.756666666666667
2021-04-19,2.42,2.568,0.82,3.76
2021-04-20,2.4316666666666666,2.5723333333333334,0.8266666666666667,3.763333333333333
2021-04-21,2.4433333333333334,2.5766666666666667,0.8333333333333334,3.7666666666666666
2021-04-22,2.455,2.581,0.84,3.77
2021-04-23,2.466666666666667,2.5853333333333333,0.8466666666666667,3.7733333333333334
2021-04-24,2.4783333333333335,2.589666666666667,0.8533333333333333,3.7766666666666664
2021-04-25,2.49,2.5940000000000003,0.86,3.78
2021-04-26,2.501666666666667,2.5983333333333336,0.8666666666666667,3.783333333333333
2021-04-27,2.513333333333333,2.602666666666667,0.8733333333333333,3.7866666666666666
2021-04-28,2.525,2.607,0.88,3.79
2021-04-29,2.5366666666666666,2.6113333333333335,0.8866666666666667,3.793333333333333
2021-04-30,2.5483333333333333,2.615666666666667,0.8933333333333333,3.7966666666666664
2021-05-01,2.56,2.62,0.9,3.8
2021-05-02,2.56,2.611290322580645,0.9,3.7967741935483867
2021-05-03,2.56,2.6025806451612903,0.9,3.793548387096774
2021-05-04,2.56,2.5938709677419354,0.9,3.790322580645161
2021-05-05,2.56,2.585161290322581,0.9,3.7870967741935484
2021-05-06,2.56,2.576451612903226,0.9,3.7838709677419353
2021-05-07,2.56,2.567741935483871,0.9,3.7806451612903227
2021-05-08,2.56,2.559032258064516,0.9,3.7774193548387096
2021-05-09,2.56,2.5503225806451613,0.9,3.7741935483870965
2021-05-10,2.56,2.5416129032258064,0.9,3.770967741935484
2021-05-11,2.56,2.532903225806452,0.9,3.767741935483871
2021-05-12,2.56,2.524193548387097,0.9,3.764516129032258
2021-05-13,2.56,2.515483870967742,0.9,3.761290322580645
2021-05-14,2.56,2.506774193548387,0.9,3.758064516129032
2021-05-15,2.56,2.4980645161290322,0.9,3.7548387096774194
2021-05-16,2.56,2.4893548387096773,0.9,3.7516129032258063
2021-05-17,2.56,2.480645161290323,0.9,3.7483870967741937
2021-05-18,2.56,2.471935483870968,0.9,3.7451612903225806
2021-05-19,2.56,2.463225806451613,0.9,3.741935483870968
2021-05-20,2.56,2.454516129032258,0.9,3.738709677419355
2021-05-21,2.56,2.445806451612903,0.9,3.735483870967742
2021-05-22,2.56,2.4370967741935483,0.9,3.732258064516129
2021-05-23,2.56,2.428387096774194,0.9,3.729032258064516
2021-05-24,2.56,2.419677419354839,0.9,3.7258064516129035
2021-05-25,2.56,2.410967741935484,0.9,3.7225806451612904
2021-05-26,2.56,2.402258064516129,0.9,3.7193548387096773
2021-05-27,2.56,2.393548387096774,0.9,3.7161290322580647
2021-05-28,2.56,2.3848387096774193,0.9,3.7129032258064516
2021-05-29,2.56,2.3761290322580644,0.9,3.709677419354839
